Chapter No,Chapter Name,Section No,Section Name,Excerise,Problem ID,Question,,
1,Axioms of Probability,1.2,Sample Space and Events,Exercise A,1EA,"A deck of six cards consists of three black cards numbered 1, 2, 3, and three red cards numbered 1, 2, 3. First, Vann draws a card at random and withoutreplacement. Then Paul draws a card at random and without replacement from the remaining cards. Let A be the event that Paul’s card has a larger number than Vann’s card. Let B be the event that Vann’s card has a larger number than Paul’s card. (a) Are A and B mutually exclusive? (b) Are A and B complements of one another?",,
,,,,,2EA,"A box contains three red and five blue balls. Define a sample space for the experiment of recording the colors of three balls that are drawn from the box, one by one, with replacement.",,
,,,,,3EA,"Define a sample space for the experiment of choosing a number from the interval (0, 20). Describe the event that such a number is an integer.",,
,,,,,4EA,"Define a sample space for the experiment of putting three different books on a shelf in random order. If two of these three books are a two-volume dictionary, describe the event that these volumes stand in increasing order side-by-side (i.e., volume I precedes volume II).",,
,,,,,5EA,"Two dice are rolled. Let E be the event that the sum of the outcomes is odd and F be the event of at least one 1. Interpret the events EF, EcF, and Ec Fc.",,
,,,,,6EA,"Define a sample space for the experiment of drawing two coins from a purse that contains two quarters, three nickels, one dime, and four pennies. For the same experiment describe the following events: (a) drawing 26 cents; (b) drawing more than 9 but less than 25 cents; (c) drawing 29 cents.",,
,,,,,7EA,"A telephone call from a certain person is received some time between 7:00 A.M. and 9:10 A.M. every day. Define a sample space for this phenomenon, and describe the event that the call arrives within 15 minutes of the hour.",,
,,,,,8EA,"Let E, F, and G be three events; explain the meaning of the relations E∪F ∪G = G and EFG = G",,
,,,,,9EA,A limousine that carries passengers from an airport to three different hotels just left the airport with two passengers. Describe the sample space of the stops and the event that both of the passengers get off at the same hotel.,,
,,,,,10EA,Find the simplest possible expression for the following events. (a) (E ∪ F)(F ∪ G). (b) (E ∪ F)(Ec ∪ F)(E ∪ Fc).,,
,,,,,11EA,"At a certain university, every year eight to 12 professors are granted University Merit Awards. This year among the nominated faculty are Drs. Jones, Smith, and Brown. Let A, B, and C denote the events, respectively, that these professors will be given awards. In terms of A, B, and C, find an expression for the event that the award goes to (a) only Dr. Jones; (b) at least one of the three; (c) none of the three; (d) exactly two of them; (e) exactly one of them; (f) Drs. Jones or Smith but not both.",,
,,,,,12EA,"Prove that the event B is impossible if and only if for every event A, A = (B ∩ Ac) ∪ (Bc ∩ A).",,
,,,,,13EA,"Let E,F, and G be three events. Determine which of the following statements are correct and which are incorrect. Justify your answers.
(a) (E − EF) ∪ F = E ∪ F.
(b) FcG ∪ EcG = G(F ∪ E)c.
(c) (E ∪ F)cG = EcFcG.
(d) EF ∪ EG ∪ FG ⊂ E ∪ F ∪ G.",,
,,,,,14EA,"In an experiment, cards are drawn, one by one, at random and successively from an ordinary deck of 52 cards. Let An be the event that no face card or ace appears on the first n − 1 drawings, and the nth draw is an ace. In terms of An’s, find an expression for the event that an ace appears before a face card, (a) if the cards are drawn with replacement; (b) if they are drawn without replacement",,
,,,,Exercise B,1EB,"Prove De Morgan’s second law, (AB)c = Ac ∪Bc, (a) by elementwise proof; (b) by applying De Morgan’s first law to Ac and Bc.",,
,,,,,2EB,Let A and B be two events. Prove the following relations by the elementwise method. (a) (A − AB) ∪ B = A ∪ B. (b) (A ∪ B) − AB = ABc ∪ AcB,,
,,,,,3EB,"Let {An}∞ n=1 be a sequence of events. Prove that for every event B, (a) B  ∞ i=1 Ai  = ∞ i=1 BAi. (b) B   ∞ i=1 Ai  = ∞ i=1(B ∪ Ai).",,
,,,,,4EB,"Define a sample space for the experiment of putting in a random order seven different books on a shelf. If three of these seven books are a three-volume dictionary, describe the event that these volumes stand in increasing order side by side (i.e., volume I precedes volume II and volume II precedes volume III).",,
,,,,,5EB,"Let {A1, A2, A3,...} be a sequence of events. Find an expression for the event that infinitely many of the Ai’s occur",,
